,open,high,low,close,volume,datetime
0,9.8,11.26,9.62,11.24,23929559,2018-03-28 05:00:00
1,11.5,11.8,10.65,11.0,5863898,2018-03-29 05:00:00
2,11.05,11.5,10.9101,11.0,2771042,2018-04-02 05:00:00
3,11.5,11.5,10.791,10.91,2509609,2018-04-03 05:00:00
4,10.75,11.08,10.55,10.97,1498443,2018-04-04 05:00:00
5,11.0,11.0492,10.7501,10.98,893303,2018-04-05 05:00:00
6,10.95,11.03,10.85,10.94,684722,2018-04-06 05:00:00
7,11.0,11.69,10.96,11.1,2648463,2018-04-09 05:00:00
8,11.45,11.59,11.2498,11.5,2199364,2018-04-10 05:00:00
9,11.58,11.59,11.03,11.48,1497786,2018-04-11 05:00:00
10,11.53,11.76,11.35,11.62,2076557,2018-04-12 05:00:00
11,11.6,11.69,11.32,11.4,803948,2018-04-13 05:00:00
12,11.41,11.5,11.33,11.33,562039,2018-04-16 05:00:00
13,11.35,11.4,11.16,11.32,635052,2018-04-17 05:00:00
14,11.44,11.5,11.29,11.35,582364,2018-04-18 05:00:00
15,11.4,11.49,11.28,11.35,433048,2018-04-19 05:00:00
16,11.25,11.31,11.06,11.19,625654,2018-04-20 05:00:00
17,11.29,11.46,11.051,11.19,867778,2018-04-23 05:00:00
18,11.25,11.52,11.21,11.29,1223314,2018-04-24 05:00:00
19,11.19,11.29,10.82,10.9,1530224,2018-04-25 05:00:00
20,11.06,11.19,10.85,11.0,343444,2018-04-26 05:00:00
21,11.0,11.1,10.61,10.61,495065,2018-04-27 05:00:00
22,10.7,11.08,10.1,10.92,1090884,2018-04-30 05:00:00
23,10.84,11.04,10.41,10.58,581011,2018-05-01 05:00:00
24,10.52,10.6361,10.21,10.26,558728,2018-05-02 05:00:00
25,10.19,10.459,10.0,10.08,844175,2018-05-03 05:00:00
26,10.18,10.28,9.86,9.99,954543,2018-05-04 05:00:00
27,10.01,10.14,9.86,10.0,877758,2018-05-07 05:00:00
28,10.05,10.49,9.95,10.27,734148,2018-05-08 05:00:00
29,10.41,10.73,10.28,10.65,1043698,2018-05-09 05:00:00
30,10.73,11.679,10.51,11.0,1652992,2018-05-10 05:00:00
31,11.06,12.19,11.06,11.46,3152495,2018-05-11 05:00:00
32,11.55,12.2,11.5,12.07,1946847,2018-05-14 05:00:00
33,12.07,12.42,11.52,12.16,1529337,2018-05-15 05:00:00
34,12.24,14.35,12.16,14.11,3113438,2018-05-16 05:00:00
35,13.83,14.87,13.03,13.55,4410229,2018-05-17 05:00:00
36,13.5,13.5,12.8,12.84,2469385,2018-05-18 05:00:00
37,12.94,13.18,12.67,12.75,3480140,2018-05-21 05:00:00
38,13.0,13.26,12.61,13.14,2364269,2018-05-22 05:00:00
39,13.07,13.38,12.3,12.44,6222885,2018-05-23 05:00:00
40,14.35,15.49,13.45,13.85,16603702,2018-05-24 05:00:00
41,13.86,14.44,13.85,14.24,3624491,2018-05-25 05:00:00
42,14.3,15.189,14.22,15.03,4145251,2018-05-29 05:00:00
43,15.2,16.8838,15.19,16.67,6639745,2018-05-30 05:00:00
44,17.13,17.71,15.0,16.23,10142030,2018-05-31 05:00:00
45,16.51,17.2,15.87,16.91,4287587,2018-06-01 05:00:00
46,17.4,18.1553,16.25,16.43,5657647,2018-06-04 05:00:00
47,16.48,16.74,15.6,16.71,4193102,2018-06-05 05:00:00
48,16.94,16.9599,16.141,16.57,2725716,2018-06-06 05:00:00
49,16.56,16.79,16.05,16.22,1983589,2018-06-07 05:00:00
50,16.1,19.35,15.85,18.95,10538314,2018-06-08 05:00:00
51,19.01,19.35,17.36,18.42,11994850,2018-06-11 05:00:00
52,18.62,19.1,17.6,18.66,7313871,2018-06-12 05:00:00
53,18.78,20.24,18.5,20.07,10175887,2018-06-13 05:00:00
54,20.69,22.7,19.6,20.5,19542024,2018-06-14 05:00:00
55,20.575,21.35,18.82,19.65,14056841,2018-06-15 05:00:00
